flight_id,time_seconds,timestamp,rpm,map_kpa,fuel_flow_lph,oil_temp_c,oil_pressure_kpa,cht_1_c,cht_2_c,cht_3_c,cht_4_c,cht_5_c,cht_6_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,egt_5_c,egt_6_c,tit_1_c,tit_2_c,altitude_m,airspeed_mps,vertical_speed_mps,ambient_temp_c,voltage_1,voltage_2,current_1,current_2,fuel_qty_l_litres,fuel_qty_r_litres,pitch_deg,roll_deg,data_origin,fault_active,fault_id,fault_type,fault_cylinder,fault_severity,scenario_rul_sec
FLIGHT_05,0.0,2021-06-13 03:22:06,0.0,102.33667558,0.0,25.294444444444444,0.82737084,25.566666666666663,25.727777777777774,25.533333333333328,25.46111111111111,24.80555555555556,24.85,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,1.0,2021-06-13 03:22:06,0.0,102.33667558,0.0,25.300000000000004,0.82737084,25.57777777777778,25.72222222222222,25.533333333333328,25.455555555555552,24.80555555555556,24.838888888888885,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,2.0,2021-06-13 03:22:07,0.0,102.37053947,0.0,25.300000000000004,0.82737084,25.57777777777778,25.72222222222222,25.533333333333328,25.46666666666667,24.80555555555556,24.85555555555555,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,3.0,2021-06-13 03:22:08,0.0,102.33667558,0.0,25.31111111111111,0.82737084,25.57777777777778,25.727777777777774,25.544444444444444,25.46666666666667,24.80555555555556,24.85,23.427777777777777,23.427777777777777,23.433333333333337,23.427777777777777,23.427777777777777,23.427777777777777,23.427777777777777,23.433333333333337,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,4.0,2021-06-13 03:22:09,0.0,102.33667558,0.0,25.305555555555557,0.82737084,25.58888888888889,25.727777777777774,25.533333333333328,25.477777777777774,24.80555555555556,24.85555555555555,23.416666666666668,23.416666666666668,23.41111111111111,23.416666666666668,23.416666666666668,23.416666666666668,23.416666666666668,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,5.0,2021-06-13 03:22:10,0.0,102.33667558,0.0,25.28333333333333,0.82737084,25.57777777777778,25.72222222222222,25.533333333333328,25.45,24.8,24.838888888888885,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,6.0,2021-06-13 03:22:11,0.0,102.33667558,0.0,25.294444444444444,0.82737084,25.57777777777778,25.72222222222222,25.533333333333328,25.46111111111111,24.79444444444444,24.85,23.427777777777777,23.433333333333337,23.433333333333337,23.427777777777777,23.427777777777777,23.433333333333337,23.433333333333337,23.433333333333337,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,7.0,2021-06-13 03:22:12,0.0,102.33667558,0.0,25.294444444444444,0.75842327,25.566666666666663,25.72222222222222,25.533333333333328,25.45,24.80555555555556,24.85,23.416666666666668,23.416666666666668,23.41111111111111,23.416666666666668,23.416666666666668,23.416666666666668,23.416666666666668,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,8.0,2021-06-13 03:22:13,0.0,102.37053947,0.0,25.288888888888884,0.75842327,25.561111111111117,25.72222222222222,25.52777777777778,25.46111111111111,24.80555555555556,24.85,23.427777777777777,23.427777777777777,23.433333333333337,23.427777777777777,23.427777777777777,23.427777777777777,23.427777777777777,23.433333333333337,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
FLIGHT_05,9.0,2021-06-13 03:22:14,0.0,102.37053947,0.0,25.31111111111111,0.75842327,25.58333333333333,25.738888888888887,25.544444444444444,25.48333333333333,24.80555555555556,24.866666666666667,23.416666666666668,23.416666666666668,23.41111111111111,23.416666666666668,23.416666666666668,23.416666666666668,23.416666666666668,23.41111111111111,-34.5948,0.0,0.08128,19.5,23.7,23.0,-10.2,,174.128952,174.128952,0.97,-0.32,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0
