time_seconds,rpm,map_kpa,fuel_flow_lph,altitude_m,ambient_temp_c,airspeed_mps,cht_1_c,cht_2_c,cht_3_c,cht_4_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,oil_temp_c,oil_pressure_kpa,flight_id
0.0,1000.0,53.92520127906114,9.27513461999852,200.0,25.0,0.0,45.27776082069329,45.27776082069329,45.27776082069329,45.27776082069329,309.60813775815325,309.60813775815325,309.60813775815325,309.60813775815325,40.010277752342176,506.66302318801274,SIM_MALE_UAV_30KFT
1.0,1005.3333333333334,54.075268352957,9.355625145390908,200.0,25.0,0.11666666666666667,45.556778378391584,45.556778378391584,45.556778378391584,45.556778378391584,373.3027796041699,373.3027796041699,373.3027796041699,373.3027796041699,40.021090235675615,507.8230295959655,SIM_MALE_UAV_30KFT
2.0,1010.6666666666666,54.22533542685286,9.43647314009604,200.0,25.0,0.23333333333333334,45.83718138574079,45.83718138574079,45.83718138574079,45.83718138574079,421.31178783155156,421.31178783155156,421.31178783155156,421.31178783155156,40.03243911592881,508.98021638682457,SIM_MALE_UAV_30KFT
3.0,1016.0,54.37540250074872,9.517679052314254,200.0,25.0,0.35000000000000003,46.11900588787745,46.11900588787745,46.11900588787745,46.11900588787745,457.55606299101623,457.55606299101623,457.55606299101623,457.55606299101623,40.044326104239644,510.1345969944871,SIM_MALE_UAV_30KFT
4.0,1021.3333333333334,54.525469574644575,9.599243330245868,200.0,25.0,0.4666666666666667,46.40227321395548,46.40227321395548,46.40227321395548,46.40227321395548,484.9762842744467,484.9762842744467,484.9762842744467,484.9762842744467,40.05675293474849,511.2861846343701,SIM_MALE_UAV_30KFT
5.0,1026.6666666666667,54.67553664854044,9.681166422091207,200.0,25.0,0.5833333333333334,46.68699834631161,46.68699834631161,46.68699834631161,46.68699834631161,505.7779648038563,505.7779648038563,505.7779648038563,505.7779648038563,40.06972135500018,512.4349923182638,SIM_MALE_UAV_30KFT
6.0,1032.0,54.825603722436306,9.763448776050605,200.0,25.0,0.7000000000000001,46.973192778936664,46.973192778936664,46.973192778936664,46.973192778936664,521.615243099095,521.615243099095,521.615243099095,521.615243099095,40.08323312065738,513.5810328639368,SIM_MALE_UAV_30KFT
7.0,1037.3333333333333,54.97567079633215,9.846090840324383,200.0,25.0,0.8166666666666667,47.26086582482566,47.26086582482566,47.26086582482566,47.26086582482566,533.7287266795838,533.7287266795838,533.7287266795838,533.7287266795838,40.097289992188394,514.724318902298,SIM_MALE_UAV_30KFT
8.0,1042.6666666666667,55.12573787022801,9.929093063112875,200.0,25.0,0.9333333333333333,47.550025317112556,47.550025317112556,47.550025317112556,47.550025317112556,543.048874766549,543.048874766549,543.048874766549,543.048874766549,40.11189373261465,515.8648628832161,SIM_MALE_UAV_30KFT
9.0,1048.0,55.27580494412387,10.012455892616407,200.0,25.0,1.05,47.84067802577613,47.84067802577613,47.84067802577613,47.84067802577613,550.2735353106067,550.2735353106067,550.2735353106067,550.2735353106067,40.127046105889065,517.0026770805125,SIM_MALE_UAV_30KFT
10.0,1053.3333333333333,55.42587201801974,10.0961797770353,200.0,25.0,1.1666666666666667,48.132829923911345,48.132829923911345,48.132829923911345,48.132829923911345,555.9260977633385,555.9260977633385,555.9260977633385,555.9260977633385,40.142748875677796,518.1377735964027,SIM_MALE_UAV_30KFT
