flight_id,time_seconds,timestamp,rpm,map_kpa,fuel_flow_lph,oil_temp_c,oil_pressure_kpa,cht_1_c,cht_2_c,cht_3_c,cht_4_c,cht_5_c,cht_6_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,egt_5_c,egt_6_c,tit_1_c,tit_2_c,altitude_m,airspeed_mps,vertical_speed_mps,ambient_temp_c,voltage_1,voltage_2,current_1,current_2,fuel_qty_l_litres,fuel_qty_r_litres,pitch_deg,roll_deg,operating_regime,expected_fuel_flow_lph,residual_fuel_flow_lph,expected_oil_pressure_kpa,residual_oil_pressure_kpa,expected_egt_1_c,residual_egt_1_c,expected_cht_1_c,residual_cht_1_c,expected_egt_2_c,residual_egt_2_c,expected_cht_2_c,residual_cht_2_c,expected_egt_3_c,residual_egt_3_c,expected_cht_3_c,residual_cht_3_c,expected_egt_4_c,residual_egt_4_c,expected_cht_4_c,residual_cht_4_c
FLIGHT_01,0.0,2021-06-17 06:35:23,0.0,99.18733381,0.0,21.05555555555556,0.96526598,22.96111111111111,20.738888888888887,22.672222222222224,20.33888888888889,23.022222222222226,20.544444444444448,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,82.82481456,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-993.6435849566327,994.6088509366327,3912.7102625038046,-3884.082484726027,-1932.484630392869,1955.4457415039801,7165.780915763538,-7137.147582430205,-1924.4147205014726,1945.1536093903615,4080.2100839640093,-4051.576750630676,-257.2583851391674,279.9306073613896,-377.81741006553773,406.45074339887105,-588.559882422757,608.8987713116459
FLIGHT_01,1.0,2021-06-17 06:35:23,0.0,99.18733381,0.0,21.05555555555556,0.96526598,22.96111111111111,20.738888888888887,22.672222222222224,20.33888888888889,23.022222222222226,20.544444444444448,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,82.82481456,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-993.6435849566327,994.6088509366327,3912.7102625038046,-3884.082484726027,-1932.484630392869,1955.4457415039801,7165.780915763538,-7137.147582430205,-1924.4147205014726,1945.1536093903615,4080.2100839640093,-4051.576750630676,-257.2583851391674,279.9306073613896,-377.81741006553773,406.45074339887105,-588.559882422757,608.8987713116459
FLIGHT_01,2.0,2021-06-17 06:35:24,0.0,99.18733381,0.0,21.05555555555556,0.96526598,22.96111111111111,20.738888888888887,22.672222222222224,20.33888888888889,23.022222222222226,20.544444444444448,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,82.31378394,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-993.6435849566327,994.6088509366327,3912.7102625038046,-3884.082484726027,-1932.484630392869,1955.4457415039801,7165.780915763538,-7137.147582430205,-1924.4147205014726,1945.1536093903615,4080.2100839640093,-4051.576750630676,-257.2583851391674,279.9306073613896,-377.81741006553773,406.45074339887105,-588.559882422757,608.8987713116459
FLIGHT_01,3.0,2021-06-17 06:35:25,0.0,99.15346992,0.0,21.072222222222223,0.89631841,22.96111111111111,20.738888888888887,22.672222222222224,20.33333333333333,23.01111111111112,20.544444444444448,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,81.80275332,1.07,-2.13,STARTUP,-18680.062188790733,18680.062188790733,-993.8241134227484,994.7204318327484,3913.962550940735,-3885.312550940735,-1931.9621121220566,1954.9232232331678,7166.3408552495985,-7137.696410805154,-1924.4006925058077,1945.1395813946965,4081.5310648777054,-4052.8866204332608,-257.24224437340035,279.91446659562257,-375.3564062789106,404.00085072335503,-588.4212285035469,608.7545618368803
FLIGHT_01,4.0,2021-06-17 06:35:26,0.0,99.15346992,0.0,21.072222222222223,0.89631841,22.96111111111111,20.738888888888887,22.672222222222224,20.344444444444445,23.01666666666667,20.55555555555556,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.8,,174.128952,81.68919095999999,1.07,-2.13,STARTUP,-18680.062188790733,18680.062188790733,-993.8241134227484,994.7204318327484,3913.962550940735,-3885.3347731629574,-1931.9621121220566,1954.9232232331678,7166.3408552495985,-7137.707521916265,-1924.4006925058077,1945.1395813946965,4081.5310648777054,-4052.897731544372,-257.24224437340035,279.91446659562257,-375.3564062789106,403.9897396122439,-588.4212285035469,608.7656729479913
FLIGHT_01,5.0,2021-06-17 06:35:27,0.0,99.18733381,0.0,21.077777777777776,0.89631841,22.96666666666667,20.75555555555556,22.683333333333334,20.35,23.01666666666667,20.56111111111112,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.8,,174.128952,81.49992036,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-993.8842832407765,994.7806016507766,3912.7102625038046,-3884.0602625038046,-1932.484630392869,1955.4512970595356,7165.780915763538,-7137.136471319094,-1924.4147205014726,1945.170276057028,4080.2100839640093,-4051.5656395195647,-257.2583851391674,279.9417184725007,-377.81741006553773,406.4618545099822,-588.559882422757,608.909882422757
FLIGHT_01,6.0,2021-06-17 06:35:28,0.0,99.18733381,0.0,21.077777777777776,0.89631841,22.96666666666667,20.75555555555556,22.683333333333334,20.35,23.02777777777778,20.55555555555556,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.7,,174.128952,81.386358,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-993.8842832407765,994.7806016507766,3912.7102625038046,-3884.0602625038046,-1932.484630392869,1955.4512970595356,7165.780915763538,-7137.130915763539,-1924.4147205014726,1945.170276057028,4080.2100839640093,-4051.560083964009,-257.2583851391674,279.9417184725007,-377.81741006553773,406.4674100655377,-588.559882422757,608.909882422757
FLIGHT_01,7.0,2021-06-17 06:35:29,0.0,99.18733381,0.0,21.088888888888885,0.89631841,22.97777777777777,20.75555555555556,22.68888888888889,20.361111111111114,23.02777777777778,20.56111111111112,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.7,,174.128952,81.23494152,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-994.0046133708177,994.9009317808177,3912.7102625038046,-3884.0602625038046,-1932.484630392869,1955.4624081706468,7165.780915763538,-7137.130915763539,-1924.4147205014726,1945.170276057028,4080.2100839640093,-4051.560083964009,-257.2583851391674,279.94727402805626,-377.81741006553773,406.4674100655377,-588.559882422757,608.9209935338681
FLIGHT_01,8.0,2021-06-17 06:35:30,0.0,99.18733381,0.0,21.077777777777776,0.89631841,22.97777777777777,20.76111111111112,22.68888888888889,20.355555555555554,23.02777777777778,20.56111111111112,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.7,,174.128952,81.08352504000001,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-993.8842832407765,994.7806016507766,3912.7102625038046,-3884.0602625038046,-1932.484630392869,1955.4624081706468,7165.780915763538,-7137.130915763539,-1924.4147205014726,1945.1758316125838,4080.2100839640093,-4051.560083964009,-257.2583851391674,279.94727402805626,-377.81741006553773,406.4674100655377,-588.559882422757,608.9154379783126
FLIGHT_01,9.0,2021-06-17 06:35:31,0.0,99.18733381,0.0,21.088888888888885,0.82737084,22.97777777777777,20.772222222222226,22.68888888888889,20.366666666666664,23.033333333333328,20.56111111111112,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.6,,174.128952,81.0078168,1.07,-2.13,STARTUP,-18680.22174921159,18680.22174921159,-994.0046133708177,994.8319842108176,3912.7102625038046,-3884.043595837138,-1932.484630392869,1955.4624081706468,7165.780915763538,-7137.114249096871,-1924.4147205014726,1945.1869427236948,4080.2100839640093,-4051.543417297343,-257.2583851391674,279.94727402805626,-377.81741006553773,406.4840767322044,-588.559882422757,608.9265490894237
