time_seconds,rpm,map_kpa,fuel_flow_lph,altitude_m,ambient_temp_c,airspeed_mps,cht_1_c,cht_2_c,cht_3_c,cht_4_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,oil_temp_c,oil_pressure_kpa,flight_id,expected_fuel_flow_lph,residual_fuel_flow_lph,expected_oil_pressure_kpa,residual_oil_pressure_kpa,expected_egt_1_c,residual_egt_1_c,expected_cht_1_c,residual_cht_1_c,expected_egt_2_c,residual_egt_2_c,expected_cht_2_c,residual_cht_2_c,expected_egt_3_c,residual_egt_3_c,expected_cht_3_c,residual_cht_3_c,expected_egt_4_c,residual_egt_4_c,expected_cht_4_c,residual_cht_4_c,egt_mean_c,egt_std_c,egt_max_c,egt_min_c,egt_spread_c,egt_dev_mean_cyl1_c,egt_dev_mean_cyl2_c,egt_dev_mean_cyl3_c,egt_dev_mean_cyl4_c,cht_mean_c,cht_std_c,cht_max_c,cht_min_c,cht_spread_c,cht_dev_mean_cyl1_c,cht_dev_mean_cyl2_c,cht_dev_mean_cyl3_c,cht_dev_mean_cyl4_c,degt_dt_cyl1_cps,degt_dt_cyl2_cps,degt_dt_cyl3_cps,degt_dt_cyl4_cps,dcht_dt_cyl1_cps,dcht_dt_cyl2_cps,dcht_dt_cyl3_cps,dcht_dt_cyl4_cps,doil_temp_dt_cps,doil_press_dt_kpaps,oil_hydraulic_index,thermal_stress_ratio
0.0,1000.0,53.92520127906114,9.27513461999852,200.0,25.0,0.0,45.27776082069329,45.27776082069329,45.27776082069329,45.27776082069329,309.60813775815325,309.60813775815325,309.60813775815325,309.60813775815325,40.010277752342176,506.6630231880128,SIM_MALE_UAV_30KFT,23.471904272295376,-14.196769652296856,381.6755520736192,124.9874711143936,522.7359120291609,-213.12777427100764,92.61627165827744,-47.33851083758415,527.4580495003061,-217.8499117421528,94.1990205360051,-48.921259715311805,545.7661488305862,-236.1580110724329,95.94573403445028,-50.667973213756994,533.1817739845637,-223.57363622641049,90.70352423399146,-45.42576341329817,309.60813775815325,0.0,309.60813775815325,309.60813775815325,0.0,0.0,0.0,0.0,0.0,45.27776082069329,0.0,45.27776082069329,45.27776082069329,0.0,0.0,0.0,0.0,0.0,31.84732092300834,31.84732092300834,31.84732092300834,31.84732092300834,0.13950877884914803,0.13950877884914803,0.13950877884914803,0.13950877884914803,0.007387121195544448,0.772397732937255,0.7559301000046366,6.837973701576097
1.0,1005.3333333333334,54.075268352957,9.355625145390908,200.0,25.0,0.1166666666666666,45.556778378391584,45.556778378391584,45.556778378391584,45.556778378391584,373.3027796041699,373.3027796041699,373.3027796041699,373.3027796041699,40.021090235675615,507.8230295959655,SIM_MALE_UAV_30KFT,24.16806700164801,-14.812441856257104,382.2620325757608,125.5609970202047,522.4505478806151,-149.14776827644516,92.77821052058788,-47.22143214219629,526.730366934019,-153.42758732984908,94.4717985949248,-48.91502021653322,545.6351887689787,-172.33240916480872,96.10906981035404,-50.55229143196246,532.3309810063143,-159.02820140214442,90.84114380071418,-45.284365422322594,373.3027796041699,0.0,373.3027796041699,373.3027796041699,0.0,0.0,0.0,0.0,0.0,45.556778378391584,0.0,45.556778378391584,45.556778378391584,0.0,0.0,0.0,0.0,0.0,37.234550024466124,37.234550024466124,37.234550024466124,37.234550024466124,0.1864735216825011,0.1864735216825011,0.1864735216825011,0.1864735216825011,0.008512087974368754,0.8678934516185706,0.7537228751250042,8.19423130633913
2.0,1010.6666666666666,54.22533542685286,9.43647314009604,200.0,25.0,0.2333333333333333,45.83718138574079,45.83718138574079,45.83718138574079,45.83718138574079,421.3117878315516,421.3117878315516,421.3117878315516,421.3117878315516,40.03243911592881,508.98021638682457,SIM_MALE_UAV_30KFT,24.860051155030614,-15.423578014934575,382.8431986695708,126.1370177172538,522.1754770956504,-100.8636892640988,92.9405970506709,-47.10341566493011,526.0176725359444,-104.70588470439276,94.74397477953286,-48.90679339379207,545.5123725929163,-124.20058476136472,96.27286931095722,-50.43568792521643,531.4954033670803,-110.18361553552865,90.97935167733628,-45.14217029159548,421.3117878315516,0.0,421.3117878315516,421.3117878315516,0.0,0.0,0.0,0.0,0.0,45.83718138574079,0.0,45.83718138574079,45.83718138574079,0.0,0.0,0.0,0.0,0.0,49.315975077620976,49.315975077620976,49.315975077620976,49.315975077620976,0.2804150223947204,0.2804150223947204,0.2804150223947204,0.2804150223947204,0.009295036481262287,0.9246322892714602,0.7515391925285311,9.191485494843601
3.0,1016.0,54.37540250074872,9.517679052314254,200.0,25.0,0.35,46.11900588787745,46.11900588787745,46.11900588787745,46.11900588787745,457.5560629910162,457.5560629910162,457.5560629910162,457.5560629910162,40.04432610423965,510.1345969944871,SIM_MALE_UAV_30KFT,25.547856732443226,-16.03017768012897,383.4190599297336,126.7155370647535,521.9106983189279,-64.3546353279117,93.1034312485264,-46.98442536064894,525.319950784067,-67.76388779305086,95.01554908982924,-48.896543201951786,545.3977072808466,-87.84164428983041,96.43713253625984,-50.3181266483824,530.6750317904531,-73.11896879943691,91.11814786385786,-44.99914197598041,457.5560629910162,0.0,457.5560629910162,457.5560629910162,0.0,0.0,0.0,0.0,0.0,46.11900588787745,0.0,46.11900588787745,46.11900588787745,0.0,0.0,0.0,0.0,0.0,37.22450155675892,37.22450155675892,37.22450155675892,37.22450155675892,0.2818316118546325,0.2818316118546325,0.2818316118546325,0.2818316118546325,0.011888720531601393,1.1543938260501931,0.749378741397827,9.921203941459773
4.0,1021.3333333333334,54.525469574644575,9.599243330245868,200.0,25.0,0.4666666666666667,46.40227321395548,46.40227321395548,46.40227321395548,46.40227321395548,484.9762842744467,484.9762842744467,484.9762842744467,484.9762842744467,40.05675293474849,511.2861846343701,SIM_MALE_UAV_30KFT,26.2314837338858,-16.632240403639926,383.989625888696,127.29655874567412,521.6562101487115,-36.67992587426477,93.26671311415448,-46.86443990019899,524.637186085954,-39.6609018115073,95.28652152581397,-48.884248311858485,545.2911997786483,-60.31491550420162,96.60185948626194,-50.19958627230646,529.8698569437252,-44.893572669278456,91.2575323602788,-44.855259146323306,484.9762842744467,0.0,484.9762842744467,484.9762842744467,0.0,0.0,0.0,0.0,0.0,46.40227321395548,0.0,46.40227321395548,46.40227321395548,0.0,0.0,0.0,0.0,0.0,28.15539232410157,28.15539232410157,28.15539232410157,28.15539232410157,0.2832723201902733,0.2832723201902733,0.2832723201902733,0.2832723201902733,0.012428576996353514,1.1516006535942551,0.7472412173358667,10.451563052488344
5.0,1026.6666666666667,54.67553664854044,9.681166422091207,200.0,25.0,0.5833333333333334,46.68699834631161,46.68699834631161,46.68699834631161,46.68699834631161,505.7779648038563,505.7779648038563,505.7779648038563,505.7779648038563,40.06972135500018,512.4349923182638,SIM_MALE_UAV_30KFT,26.910932159358453,-17.229765737267243,384.5549060571445,127.88008626111925,521.4120111366939,-15.634046332837556,93.43044264755508,-46.74344430124346,523.9693627785894,-18.19139797473304,95.55689208748704,-48.86989374117542,545.1928569994499,-39.41489219559355,96.76705016096352,-50.08005181465191,529.0798694377326,-23.301904633876237,91.39750516659916,-44.71050682028755,505.7779648038563,0.0,505.7779648038563,505.7779648038563,0.0,0.0,0.0,0.0,0.0,46.68699834631161,0.0,46.68699834631161,46.68699834631161,0.0,0.0,0.0,0.0,0.0,21.353060036026267,21.353060036026267,21.353060036026267,21.353060036026267,0.2847289636864024,0.2847289636864024,0.2847289636864024,0.2847289636864024,0.012970175251918192,1.1488205030946914,0.7451263221529414,10.83337937153576
6.0,1032.0,54.82560372243631,9.763448776050604,200.0,25.0,0.7000000000000001,46.97319277893666,46.97319277893666,46.97319277893666,46.97319277893666,521.615243099095,521.615243099095,521.615243099095,521.615243099095,40.08323312065738,513.5810328639368,SIM_MALE_UAV_30KFT,27.586202008861136,-17.822753232810534,385.1149099350237,128.46612292891308,521.1780997878226,0.4371433112723935,93.5946198487282,-46.62142706979153,523.3164651282119,-1.7012220291169342,95.8266607748484,-48.853467995911735,545.1026858234467,-23.48744272435169,96.93270456036456,-49.9595117814279,528.3050598267002,-6.689816727605262,91.5380662828188,-44.56487350388213,521.615243099095,0.0,521.615243099095,521.615243099095,0.0,0.0,0.0,0.0,0.0,46.97319277893666,0.0,46.97319277893666,46.97319277893666,0.0,0.0,0.0,0.0,0.0,16.250814135045704,16.250814135045704,16.250814135045704,16.250814135045704,0.2861975369567252,0.2861975369567252,0.2861975369567252,0.2861975369567252,0.013513525674999017,1.1460531777458072,0.7430337636836537,11.10453031272325
7.0,1037.3333333333333,54.97567079633215,9.846090840324385,200.0,25.0,0.8166666666666667,47.26086582482566,47.26086582482566,47.26086582482566,47.26086582482566,533.7287266795838,533.7287266795838,533.7287266795838,533.7287266795838,40.0972899921884,514.724318902298,SIM_MALE_UAV_30KFT,28.257293282393704,-18.41120244206932,385.66964701819205,129.05467188410597,520.9544745601248,12.774252119458993,93.75924471767382,-46.498378892848166,522.6784773301505,11.05024934943333,96.0958275878981,-48.83496176307244,545.0206930977213,-11.291966418137465,97.09882268446508,-49.83795685963944,527.5454186080872,6.18330807149664,91.67921570893796,-44.4183498841123,533.7287266795838,0.0,533.7287266795838,533.7287266795838,0.0,0.0,0.0,0.0,0.0,47.26086582482566,0.0,47.26086582482566,47.26086582482566,0.0,0.0,0.0,0.0,0.0,12.423636654230904,12.423636654230904,12.423636654230904,12.423636654230904,0.2876756569336507,0.2876756569336507,0.2876756569336507,0.2876756569336507,0.014058634228115352,1.143298489228482,0.740963255620123,11.293249020402447
8.0,1042.6666666666667,55.12573787022801,9.929093063112877,200.0,25.0,0.9333333333333332,47.55002531711256,47.55002531711256,47.55002531711256,47.55002531711256,543.048874766549,543.048874766549,543.048874766549,543.048874766549,40.11189373261465,515.8648628832161,SIM_MALE_UAV_30KFT,28.924205979956326,-18.99511291684345,386.2191268027231,129.645736080493,520.741133864533,22.307740902016008,93.92431725439208,-46.3742919372795,522.0553835086575,20.99349125789149,96.36439252663618,-48.81436720952362,544.9468856360575,-1.8980108695084252,97.26540453326508,-49.715379216152506,526.800936222427,16.247938544122007,91.82095344495656,-44.270928127844,543.048874766549,0.0,543.048874766549,543.048874766549,0.0,0.0,0.0,0.0,0.0,47.55002531711256,0.0,47.55002531711256,47.55002531711256,0.0,0.0,0.0,0.0,0.0,9.552764070503903,9.552764070503903,9.552764070503903,9.552764070503903,0.2891617489464906,0.2891617489464906,0.2891617489464906,0.2891617489464906,0.014605504135523972,1.14055625562778,0.7389145173558709,11.420580139441348
9.0,1048.0,55.27580494412387,10.012455892616408,200.0,25.0,1.05,47.84067802577613,47.84067802577613,47.84067802577613,47.84067802577613,550.2735353106067,550.2735353106067,550.2735353106067,550.2735353106067,40.127046105889065,517.0026770805125,SIM_MALE_UAV_30KFT,29.586940101549036,-19.574484208932624,386.7633587877949,130.2393182927176,520.5380760647103,29.73545924589644,94.08983745888273,-46.2491594331066,521.4471677167477,28.826367593859004,96.63235559106248,-48.79167756528635,544.8812702187604,5.392265091846298,97.43245010676452,-49.59177208098839,526.0716030531756,24.201932257431054,91.96327949087446,-44.12260146509833,550.2735353106067,0.0,550.2735353106067,550.2735353106067,0.0,0.0,0.0,0.0,0.0,47.84067802577613,0.0,47.84067802577613,47.84067802577613,0.0,0.0,0.0,0.0,0.0,7.399123694584887,7.399123694584887,7.399123694584887,7.399123694584887,0.2906546996952315,0.2906546996952315,0.2906546996952315,0.2906546996952315,0.015154136751402803,1.1378263003218536,0.736887273837716,11.502210211446506
10.0,1053.3333333333333,55.42587201801974,10.0961797770353,200.0,25.0,1.1666666666666667,48.13282992391135,48.13282992391135,48.13282992391135,48.13282992391135,555.9260977633385,555.9260977633385,555.9260977633385,555.9260977633385,40.1427488756778,518.1377735964027,SIM_MALE_UAV_30KFT,30.24549564717168,-20.14931587013638,387.30235247767206,130.8354211187306,520.3452994768744,35.58079828646407,94.25580533114604,-46.1229754072347,520.8538139360302,35.0722838273083,96.8997167811772,-48.76688685726585,544.8238535924725,11.102244170866015,97.59995940496344,-49.46712948105209,525.3574094265518,30.56868833678664,92.10619384669178,-43.97336392278043,555.9260977633385,0.0,555.9260977633385,555.9260977633385,0.0,0.0,0.0,0.0,0.0,48.13282992391135,0.0,48.13282992391135,48.13282992391135,0.0,0.0,0.0,0.0,0.0,5.783410963429939,5.783410963429939,5.783410963429939,5.783410963429939,0.2921536834064469,0.2921536834064469,0.2921536834064469,0.2921536834064469,0.015704532071525536,1.135108451300289,0.7348812554241791,11.549831967955127
